Model,AIC,AICc,BIC
null,-96.34406717,-95.84406717,-93.75239344
temp_diff_,-102.1526789,-101.1092007,-98.26516832
meanrh_,-96.88888731,-95.84540905,-93.00137671
complexity_,-100.9315783,-99.88810006,-97.04406772
temp_diff_complexity_,-101.3706119,-99.55243007,-96.18726442
min_,-101.9413321,-100.8978538,-98.05382148
max_,-94.3752509,-93.33177264,-90.48774031
min_max_,-100.7074497,-98.88926788,-95.52410223
min_meanrh_,-101.0845596,-99.26637778,-95.90121213
max_meanrh_,-95.05302942,-93.2348476,-89.86968195
min_meanrh_complex_,-100.0600496,-97.2029067,-93.58086523
max_meanrh_complex_,-97.79061435,-94.93347149,-91.31143002
min_complex_,-101.3523794,-99.53419758,-96.16903193
max_complex_,-98.95397559,-97.13579377,-93.77062812
temp_diff_meanrh_complex_,-100.9917687,-98.13462587,-94.5125844
log_min_,-105.4065542,-104.363076,-101.5190436
log_max_,-94.34958124,-93.30610298,-90.46207064
log_min_max_,-104.2321108,-102.4139289,-99.04876329
