"site","ore","passage_length","azimuth","entrance_height","entrance_width","levels","shafts","external_ta","internal_ta","internal_rh","month","day","year","disturbance","total_bats","estimate_or_count","myotis_count","myotis_identified","mylu","myse","epsu","pips"
"Adventure Adit/ Rock Fall","Copper","306","27","4","6","1",0,NA,"43.9-44.5",NA,"40239",NA,NA,"Low","1230","C","1227",0,NA,NA,2,"1"
"Adventure Adit/ Rock Fall",NA,NA,NA,NA,NA,NA,NA,"40","46.4","93.5","40975",NA,NA,NA,"1277","C","1276",144,130,14,1,"0"
"Adventure Adit/ Rock Fall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42116",NA,NA,NA,"1157","c","1157",0,NA,NA,0,"0"
"Adventure Adit/ Rock Fall",NA,NA,NA,NA,NA,NA,NA,NA,"44.6","93.3","43818",NA,NA,NA,"23",NA,"22",22,21,1,1,"0"
"Adventure Adit/ Rock Fall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44664",NA,NA,NA,"42",NA,"42",42,42,0,0,"0"
"Adventure Adit/ Rock Fall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45030",NA,NA,NA,"26",NA,"26",26,26,0,0,"0"
"Adventure Mine","Copper","8829","165","6","5","2",1,NA,"38-48",NA,"39857",NA,NA,"Low","8616","C","8330",0,NA,NA,281,"5"
"Adventure Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40604",NA,NA,NA,"23870","C","23534",0,NA,NA,331,"5"
"Adventure Mine",NA,NA,NA,NA,NA,NA,NA,"29","46.4","100","40976",NA,NA,NA,NA,NA,NA,206,189,17,NA,"2"
"Adventure Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41244",NA,NA,NA,"33145","C","32733",0,NA,NA,408,"4"
"Adventure Mine",NA,NA,NA,NA,NA,NA,NA,NA,"46.4",NA,"42422",NA,NA,NA,"20854","c","20373",1016,1003,3,453,"9"
"Adventure Mine",NA,NA,NA,NA,NA,NA,NA,NA,"46.4","96.7","43819",NA,NA,NA,"1283",NA,"876",112,112,0,407,"0"
"Adventure Mine",NA,NA,NA,NA,NA,NA,NA,NA,"-3.9to6.7(2nd level)",NA,"45376",NA,NA,NA,"2110","c","1413",186,186,0,696,"1"
"Adventure Shaft","Copper","330","330","8","20","1",1,NA,"44-45","100","39878",NA,NA,"Low","2523","C","2516",0,NA,NA,7,"0"
"Agency Place Mine","Copper","54","180","3","4","1",0,"31.5","44.2",NA,"39025",NA,NA,"Low","75","C","75",21,13,8,0,"0"
"Agency Place Mine",NA,NA,NA,NA,NA,NA,NA,"23","39.200000000000003","92.4","40966",NA,NA,NA,"54","C","54",26,18,8,0,"0"
"Agency Place Mine",NA,NA,NA,NA,NA,NA,NA,"24.8","39.200000000000003",NA,"42366",NA,NA,NA,"8","c","8",8,7,1,0,"0"
