"site","ore","passage_length","azimuth","entrance_height","entrance_width","levels","shafts","external_ta","internal_ta","internal_rh","date","disturbance","total_bats","estimate_or_count","myotis_count","myotis_identified","mylu","myse","epsu","pips","year","month","day"
"Adventure Adit/ Rock Fall","Copper","306","27","4","6","1",0,NA,"43.9-44.5",NA,2010-03-02,"Low","1230","C","1227",0,NA,NA,2,"1",2010,3,2
"Adventure Adit/ Rock Fall",NA,NA,NA,NA,NA,NA,NA,"40","46.4","93.5",2012-03-07,NA,"1277","C","1276",144,130,14,1,"0",2012,3,7
"Adventure Adit/ Rock Fall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-04-22,NA,"1157","c","1157",0,NA,NA,0,"0",2015,4,22
"Adventure Adit/ Rock Fall",NA,NA,NA,NA,NA,NA,NA,NA,"44.6","93.3",2019-12-19,NA,"23",NA,"22",22,21,1,1,"0",2019,12,19
"Adventure Adit/ Rock Fall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-13,NA,"42",NA,"42",42,42,0,0,"0",2022,4,13
"Adventure Adit/ Rock Fall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-04-14,NA,"26",NA,"26",26,26,0,0,"0",2023,4,14
"Adventure Mine","Copper","8829","165","6","5","2",1,NA,"38-48",NA,2009-02-13,"Low","8616","C","8330",0,NA,NA,281,"5",2009,2,13
"Adventure Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-03-02,NA,"23870","C","23534",0,NA,NA,331,"5",2011,3,2
"Adventure Mine",NA,NA,NA,NA,NA,NA,NA,"29","46.4","100",2012-03-08,NA,NA,NA,NA,206,189,17,NA,"2",2012,3,8
"Adventure Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-12-01,NA,"33145","C","32733",0,NA,NA,408,"4",2012,12,1
"Adventure Mine",NA,NA,NA,NA,NA,NA,NA,NA,"46.4",NA,2016-02-22,NA,"20854","c","20373",1016,1003,3,453,"9",2016,2,22
"Adventure Mine",NA,NA,NA,NA,NA,NA,NA,NA,"46.4","96.7",2019-12-20,NA,"1283",NA,"876",112,112,0,407,"0",2019,12,20
"Adventure Mine",NA,NA,NA,NA,NA,NA,NA,NA,"-3.9to6.7(2nd level)",NA,2024-03-25,NA,"2110","c","1413",186,186,0,696,"1",2024,3,25
"Adventure Shaft","Copper","330","330","8","20","1",1,NA,"44-45","100",2009-03-06,"Low","2523","C","2516",0,NA,NA,7,"0",2009,3,6
"Agency Place Mine","Copper","54","180","3","4","1",0,"31.5","44.2",NA,2006-11-04,"Low","75","C","75",21,13,8,0,"0",2006,11,4
"Agency Place Mine",NA,NA,NA,NA,NA,NA,NA,"23","39.200000000000003","92.4",2012-02-27,NA,"54","C","54",26,18,8,0,"0",2012,2,27
"Agency Place Mine",NA,NA,NA,NA,NA,NA,NA,"24.8","39.200000000000003",NA,2015-12-28,NA,"8","c","8",8,7,1,0,"0",2015,12,28
"Agency Place Mine",NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,2017-12-28,NA,"0","e","0",0,0,0,0,"0",2017,12,28
"Agency Place Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-17,NA,"3",NA,"3",3,3,0,0,"0",2020,1,17
"Algonquin Adit #1","Copper","30","245","3","5","1",0,"16.899999999999999","33","88",1999-12-16,"Low","0","C","0",0,NA,NA,0,"0",1999,12,16
"Algonquin Adit #2",NA,NA,NA,NA,NA,NA,NA,"17","33.799999999999997","100",2012-03-09,NA,"0","C","0",0,NA,NA,0,"0",2012,3,9
"Algonquin Adit #2 (Mark's Adit)","Copper","70","145","3","5","1",0,NA,NA,NA,1999-12-27,"Low","0","C","0",0,NA,NA,0,"0",1999,12,27
"Algonquin Adit #2 (Mark's Adit)",NA,NA,NA,NA,NA,NA,NA,"29.3","44.6","100",2011-12-21,NA,"83","C","83",0,NA,NA,0,"0",2011,12,21
"Algonquin Adit #2 (Mark's Adit)",NA,NA,NA,NA,NA,NA,NA,"44","45.5","93.4",2018-12-16,NA,"5",NA,"5",5,5,0,0,"0",2018,12,16
