"site","min","max","temp_diff","ore","azimuth","entrance_height","entrance_width","levels","shafts","1980","1981","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","NA"
"Adventure Adit/ Rock Fall",6.61111111111111,8,1.38888888888889,"Copper","27","4","6","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1227,NA,1276,NA,NA,1157,NA,NA,NA,NA,22,NA,42,26,NA,NA
"Adventure Mine",3.33333333333333,8.88888888888889,5.55555555555556,"Copper","165","6","5","2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8330,NA,23534,NA,32733,NA,NA,20373,NA,NA,NA,876,NA,NA,NA,1413,NA
"Adventure Shaft",6.66666666666667,7.22222222222222,0.555555555555555,"Copper","330","8","20","1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agency Place Mine",4,6.77777777777778,2.77777777777778,"Copper","180","3","4","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,54,NA,NA,NA,8,NA,0,NA,3,NA,NA,NA,NA,NA
"Algonquin Adit #1",0.555555555555556,0.555555555555556,0,"Copper","245","3","5","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Adit #2",0.999999999999998,0.999999999999998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Adit #2 (Mark's Adit)",3.8,7.5,3.7,"Copper","145","3","5","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,9,NA
"Algonquin Adit #3",Inf,-Inf,-Inf,"Copper","235","5","4","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Adit #4",-0.499999999999999,-0.499999999999999,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
