"site","averageinternaltempc","lowestinternaltempc","highestinternaltempc","temperaturedifferencec","ore","lengthofpassagem","numberofentrancesforhumanaccess","numberoflevels","year","count","entrances","slope"
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1980,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1980,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1980,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1980,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1980,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1980,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1993,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1993,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1993,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1993,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1993,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1993,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1996,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1996,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1996,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1996,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1996,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1996,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1997,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1997,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1997,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1997,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1997,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1997,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1998,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1998,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1998,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1998,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1998,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1998,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1999,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1999,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1999,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1999,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1999,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,1999,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2000,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2000,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2000,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2000,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2000,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2000,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2001,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2001,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2001,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2001,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2001,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2001,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2002,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2002,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2002,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2002,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2002,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2002,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2003,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2003,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2003,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2003,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2003,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2003,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2004,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2004,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2004,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2004,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2004,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2004,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2005,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2005,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2005,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2005,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2005,NA,1,2.30769230769248
