"site","site_numeric","bin","recovery_status","slope","levels","shafts","crash","min","max","temp_diff","ore","zone","easting","northing","temp_diff_sqrt","temp_diff_log","bin_numeric","levels_numeric","shafts_numeric"
"Adventure Adit/ Rock Fall",1,1,"recovering",0.00310309159866682,"1","0",0.974137931034483,6.61111111111111,8,1.38888888888889,"Copper","16T","341162","5181952",1.17851130197758,0.328504066972036,1,1,1
"Adventure Mine",2,1,"recovering",0.00640933829848181,"2","1",0.959857025020621,3.33333333333333,8.88888888888889,5.55555555555556,"Copper","16T","340913","5182012",2.35702260395516,1.71479842809193,1,2,2
"Agency Place Mine",3,1,"recovering",0.03,"1","0",1,4,6.77777777777778,2.77777777777778,"Copper","16T","413678","5253940",1.66666666666667,1.02165124753198,1,1,1
"Bear Cave",4,0,"not recovering",0,"1","0",1,3,10,7,"Tufa","16T","553278","4636996",2.64575131106459,1.94591014905531,0,1,1
"Beaten's Cave",5,0,"not recovering",0,"1","0",0.956310679611651,1.5,8,6.5,"Copper","16T","332770","5176418",2.54950975679639,1.87180217690159,0,1,1
"Belt Mine",6,1,"recovering",0.628630705394191,NA,NA,0.220494053064959,0.499999999999999,6.27777777777778,5.77777777777778,"Copper",NA,NA,NA,2.40370085030933,1.75401914124521,1,NA,NA
"Child's Adit",7,1,"recovering",0.0272321428571428,"1","0",0.909090909090909,6.05555555555556,7.5,1.44444444444444,"Copper","16T","409892","5254166",1.20185042515466,0.367724780125318,1,1,1
"Delaware Mine",8,1,"recovering",0.110162991371045,"1","1",0.7069494836729,0.555555555555556,8.5,7.94444444444444,"Copper","16T","417617","5252896",2.81858908754796,2.07247287236374,1,1,2
"Derby Adit",9,1,"recovering",0.0897755610972569,"1","0",0.853191489361702,5,8.88888888888889,3.88888888888889,"Copper","16T","309698","5166418",1.97202659436654,1.35812348415319,1,1,1
"Eagle River Adit  1 (Lake Superior & Phoenix)",10,0,"not recovering",0,"1","0",0.594594594594595,4,6.5,2.5,"Copper","16T","402808","5250652",1.58113883008419,0.916290731874155,0,1,1
"Eagle River Adit 3 (Lake Superior & Phoenix)",11,0,"not recovering",0,"1","0",1,-3,6.16666666666667,9.16666666666667,"Copper","16T","402657","5250723",3.02765035409749,2.21557371600442,0,1,1
"Flintsteel Adit",12,1,"recovering",0.0151821862348178,"1","0",0.993963782696177,5.88888888888889,8,2.11111111111111,"Copper","16T","337168","5178215",1.45296631451356,0.74721440183022,1,1,1
"Ford Exploratory Adit",13,1,"recovering",0.0333333333333333,"1","0",1,1.5,4,2.5,"Iron","16T","417566","5074838",1.58113883008419,0.916290731874155,1,1,1
"Glen Adit #1",14,1,"recovering",0.0642123287671233,"1","0",0.946515397082658,2.5,5.5,3,"Copper","16T","329245","5173505",1.73205080756888,1.09861228866811,1,1,1
"Hendrie River Water Cave",15,0,"not recovering",0,"1","0",0.988888888888889,2.5,6,3.5,"Limestone","16T","639672","5118850",1.87082869338697,1.25276296849537,0,1,1
"Indiana Mine",16,1,"recovering",0.0646878687419228,"1","1",1,3.5,4.8,1.3,"Copper","16T","347617","5184985",1.14017542509914,0.262364264467491,1,1,2
"Iron Mountain Iron Mine (Tourist Mine)",17,1,"recovering",0.00421658089348268,"2","2",0.967975552578701,1.38888888888889,10,8.61111111111111,"Iron","16T","432801","5070510",2.93446947694317,2.15305335902308,1,2,3
"Jones' Adit",18,1,"recovering",0.0158128078817734,"1","0",0.995879120879121,7.22222222222222,9.5,2.27777777777778,"Iron","16T","431932","5070686",1.50923085635624,0.823200308808144,1,1,1
