"site","slope","intercept","relative_year","predicted_count","source"
"Adventure Adit/ Rock Fall",0.00214643453374672,0.00310040543763415,0,0.00310040543763415,"Trend Line"
"Adventure Adit/ Rock Fall",0.00214643453374672,0.00310040543763415,1,0.00524683997138087,"Trend Line"
"Adventure Adit/ Rock Fall",0.00214643453374672,0.00310040543763415,2,0.00739327450512759,"Trend Line"
"Adventure Adit/ Rock Fall",0.00214643453374672,0.00310040543763415,3,0.00953970903887432,"Trend Line"
"Adventure Adit/ Rock Fall",0.00214643453374672,0.00310040543763415,4,0.011686143572621,"Trend Line"
"Adventure Adit/ Rock Fall",0.00214643453374672,0.00310040543763415,5,0.0138325781063678,"Trend Line"
"Adventure Adit/ Rock Fall",0.00214643453374672,0.00310040543763415,6,0.0159790126401145,"Trend Line"
"Adventure Adit/ Rock Fall",0.00214643453374672,0.00310040543763415,7,0.0181254471738612,"Trend Line"
"Adventure Adit/ Rock Fall",0.00214643453374672,0.00310040543763415,8,0.0202718817076079,"Trend Line"
"Adventure Adit/ Rock Fall",0.00214643453374672,0.00310040543763415,9,0.0224183162413546,"Trend Line"
"Adventure Adit/ Rock Fall",0.00214643453374672,0.00310040543763415,10,0.0245647507751014,"Trend Line"
"Adventure Mine",0.0065917069697788,0,0,0,"Trend Line"
"Adventure Mine",0.0065917069697788,0,1,0.0065917069697788,"Trend Line"
"Adventure Mine",0.0065917069697788,0,2,0.0131834139395576,"Trend Line"
"Adventure Mine",0.0065917069697788,0,3,0.0197751209093364,"Trend Line"
"Adventure Mine",0.0065917069697788,0,4,0.0263668278791152,"Trend Line"
"Adventure Mine",0.0065917069697788,0,5,0.032958534848894,"Trend Line"
"Adventure Mine",0.0065917069697788,0,6,0.0395502418186728,"Trend Line"
"Adventure Mine",0.0065917069697788,0,7,0.0461419487884516,"Trend Line"
"Adventure Mine",0.0065917069697788,0,8,0.0527336557582304,"Trend Line"
"Adventure Mine",0.0065917069697788,0,9,0.0593253627280092,"Trend Line"
"Adventure Mine",0.0065917069697788,0,10,0.065917069697788,"Trend Line"
"Agency Place Mine",0.0328467153284672,0,0,0,"Trend Line"
"Agency Place Mine",0.0328467153284672,0,1,0.0328467153284672,"Trend Line"
"Agency Place Mine",0.0328467153284672,0,2,0.0656934306569343,"Trend Line"
"Agency Place Mine",0.0328467153284672,0,3,0.0985401459854015,"Trend Line"
"Agency Place Mine",0.0328467153284672,0,4,0.131386861313869,"Trend Line"
